2945 &  5p^{3}P & 2s^{3}S
3188 &  4p^{3}P & 2s^{3}S
3614 &  5p^{1}P & 2s^{1}S
3889 &  3p^{3}P & 2s^{3}S
3965 &  4p^{1}P & 2s^{1}S
4026 &  5d^{3}D & 2p^{3}P
4121 &  5s^{3}S & 2p^{3}P
4388 &  5d^{1}D & 2p^{1}P
4438 &  5s^{1}S & 2p^{1}P
4471 &  4d^{3}D & 2p^{3}P
4713 &  4s^{3}S & 2p^{3}P
4922 &  4d^{1}D & 2p^{1}P
5016 &  3p^{1}P & 2s^{1}S
5048 &  4s^{1}S & 2p^{1}P
5876 &  3d^{3}D & 2p^{3}P
6678 &  3d^{1}D & 2p^{1}P
7065 &  3s^{3}S & 2p^{3}P
7281 &  3s^{1}S & 2p^{1}P
9464 &  5p^{3}P & 3s^{3}S
10830 &  2p^{3}P & 2s^{3}S
11013  &  5p^{1}P & 3s^{1}S
11969 &  5d^{3}D & 3p^{3}P
12527 &  4p^{3}P & 3s^{3}S
12756 &  5p^{1}P & 3d^{1}D 
12785 &  5f^{3}F & 3d^{3}D 
12790 &  5f^{1}F & 3d^{1}D
12846 &  5s^{3}S & 3p^{3}P
12968 &  5d^{1}D & 3p^{1}P
12985 &  5p^{3}P & 3d^{3}D 
13412 &  5s^{1}S & 3p^{1}P
15084 &  4p^{1}P & 3s^{1}S
17003 &  4d^{3}D & 3p^{3}P 
18556 &  4p^{1}P & 3d^{1}D
18685 &  4f^{3}F & 3d^{3}D
18697 &  4f^{1}F & 3d^{1}D
19089 &  4d^{1}D & 3p^{1}P
19543 &  4p^{3}P & 3d^{3}D
20427 &  6p^{3}P & 4s^{3}S
20581 &  2p^{1}P & 2s^{1}S
20602 &  7d^{3}D & 4p^{3}P 
21118 &  4s^{3}S & 3p^{3}P
21130 &  4s^{1}S & 3p^{1}P
21608 &  7f^{3}F & 4d^{3}D 
21617 &  7f^{1}F & 4d^{1}D
